,title,MFCCs,views,rating
0,Whatever Happened To True Love,"[[-577.84733889 -577.84733889 -577.84733889 ... -577.84733889
  -577.84733889 -577.84733889]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",17104,4.1784511
1,Change Of Heart,"[[-576.15628095 -576.15628095 -576.15628095 ... -576.15628095
  -576.15628095 -576.15628095]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",30876,4.0886078
2,Buzz Buzz Buzz,"[[-582.58788942 -582.58788942 -582.58788942 ... -582.58788942
  -582.58788942 -582.58788942]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",170893,4.9047618
3,The Power Of Love,"[[-501.02775801 -501.02775801 -501.02775801 ... -501.02775801
  -501.02775801 -501.02775801]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",2092025,4.9511466
4,Heart And Soul (Live) (24-Bit Digitally Remastered 99),"[[-544.37644954 -544.37644954 -544.37644954 ... -148.37390643
  -211.83175258 -388.79393517]
 [   0.            0.            0.         ...   76.33085838
    68.23065736   44.62314233]
 [   0.            0.            0.         ...  -71.34909328
   -62.01408257  -46.58023309]
 ...
 [   0.            0.            0.         ...   -1.52928508
     1.34544467   10.58576907]
 [   0.            0.            0.         ...    3.22479816
    -2.83549494  -12.79856572]
 [   0.            0.            0.         ...    1.00256188
     1.32129684    4.51635568]]",67055,4.9252338
5,If This Is It,"[[-519.10484905 -519.10484905 -519.10484905 ... -519.10484905
  -519.10484905 -519.10484905]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",8640274,4.8695383
6,Bad Is Bad (24-Bit Digitally Remastered 99),"[[-546.05325228 -546.05325228 -546.05325228 ... -546.05325228
  -546.05325228 -546.05325228]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",49614,4.9227052
7,The Heart Of Rock And Roll (Session Take) (24-Bit Digitally Remastered 99),"[[-5.37409655e+02 -5.37409655e+02 -5.37409655e+02 ... -5.37323469e+02
  -5.37207016e+02 -5.37304092e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.21876342e-01
   2.86553570e-01  1.49277597e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.21848810e-01
   2.86488837e-01  1.49243875e-01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.20968884e-01
   2.84419970e-01  1.48166116e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.20776683e-01
   2.83968070e-01  1.47930703e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.20566293e-01
   2.83473405e-01  1.47673011e-01]]",2585,5
8,Heart And Soul,"[[-519.34885808 -519.34885808 -519.34885808 ... -519.34885808
  -519.34885808 -519.34885808]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",8535972,4.8931875
9,If This Is It (1999 Digital Remaster),"[[-519.10484905 -519.10484905 -519.10484905 ... -519.10484905
  -519.10484905 -519.10484905]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",8640274,4.8695383
10,Finally Found A Home (24-Bit Digitally Remastered 99),"[[-588.33329369 -588.33329369 -588.33329369 ... -588.33329369
  -588.33329369 -588.33329369]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",26627,4.9304347
11,The Heart Of Rock And Roll,"[[-509.95175223 -509.95175223 -509.95175223 ... -509.95175223
  -509.95175223 -509.95175223]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",5883203,4.8817601
