,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,MFCCs,views,rating
0,0.0,0.0,0.0,Are You Ready,"[[-4.95789903e+02 -3.81840388e+02 -9.53480024e+01 ... -4.95789903e+02
  -4.95789903e+02 -4.95789903e+02]
 [ 0.00000000e+00  5.36305519e+01  7.25649345e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -2.81505364e+01 -4.45226155e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 0.00000000e+00 -4.75624561e+00 -8.23678016e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  3.82996083e+00 -1.31801022e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  6.26726145e-01 -5.41639653e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",143878,4.9181495
1,1.0,1.0,1.0,Sha-La-La,"[[-566.33155039 -566.33155039 -566.33155039 ... -204.96373361
  -408.24225283 -566.33155039]
 [   0.            0.            0.         ...  -12.27686212
   -13.14196611    0.        ]
 [   0.            0.            0.         ...    4.77396767
     5.26594695    0.        ]
 ...
 [   0.            0.            0.         ...   -4.26930405
    -4.07739951    0.        ]
 [   0.            0.            0.         ...    5.95070489
     6.24334311    0.        ]
 [   0.            0.            0.         ...   -4.44836364
    -4.02934705    0.        ]]",86360,4.9022403
2,2.0,2.0,2.0,Jailbreak,"[[-520.09457312 -520.09457312 -520.09457312 ... -520.09457312
  -520.09457312 -520.09457312]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1559492,4.863245
3,3.0,3.0,3.0,Banshee,"[[-586.51380508 -586.51380508 -586.51380508 ... -586.51380508
  -586.51380508 -586.51380508]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",42480,4.9622641
4,4.0,4.0,4.0,Philomena,"[[-5.57385874e+02 -5.57385874e+02 -5.57385874e+02 ... -1.61746046e+02
  -3.94162870e+02 -5.57385874e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.81364017e+01
   1.68752723e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  9.37379283e+00
   1.15102063e+01  0.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.31171019e+00
  -4.80460494e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  7.21824793e-01
  -8.51507954e-02  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.34960523e+00
   1.52523830e+00  0.00000000e+00]]",160020,4.9173913
5,5.0,5.0,5.0,Frankie Carroll,"[[-5.51041553e+02 -5.51041553e+02 -5.51041553e+02 ... -1.26004911e+02
  -2.21641905e+02 -5.51041553e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.16842327e+01
   2.15046824e+01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.08438421e+01
   1.13579212e+01  0.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.76560684e+00
  -3.73706066e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.58275463e-01
   1.83087158e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.24618762e+00
   5.15858784e+00  0.00000000e+00]]",39879,4.9368419999999995
6,6.0,6.0,6.0,She Knows,"[[-490.62915354 -490.62915354 -490.62915354 ... -490.62915354
  -490.62915354 -490.62915354]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",423895,4.9197888
7,7.0,7.0,7.0,The Pressure Will Blow,"[[-541.05073779 -541.05073779 -541.05073779 ... -523.58907206
  -528.31157575 -531.28174242]
 [   0.            0.            0.         ...   24.26071968
    17.7587541    13.7285563 ]
 [   0.            0.            0.         ...   23.02269596
    17.03923121   13.47081752]
 ...
 [   0.            0.            0.         ...    6.01179464
     6.37871108    7.13097023]
 [   0.            0.            0.         ...    4.60613902
     4.91713769    6.13959445]
 [   0.            0.            0.         ...    3.39990305
     3.62927699    5.18174947]]",52577,4.9427209
8,8.0,8.0,8.0,It's Getting Dangerous,"[[-565.48393891 -565.48393891 -565.48393891 ... -565.48393891
  -565.48393891 -565.48393891]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",79459,4.9736843
9,9.0,9.0,9.0,No One Told Him,"[[-575.28977799 -575.28977799 -575.28977799 ... -562.98014868
  -565.77635513 -573.8759725 ]
 [   0.            0.            0.         ...   17.26557754
    13.32097706    1.9964075 ]
 [   0.            0.            0.         ...   16.84252298
    12.93031723    1.98737833]
 ...
 [   0.            0.            0.         ...    7.01545531
     5.45439638    1.7115997 ]
 [   0.            0.            0.         ...    5.63951712
     4.70547408    1.65457636]
 [   0.            0.            0.         ...    4.37534464
     4.10087585    1.59343687]]",154153,4.9406780999999995
