,Unnamed: 0,Unnamed: 0.1,title,MFCCs,views,rating
0,0.0,0.0,Mes Dames Sarat,"[[-554.93817473 -554.93817473 -554.93817473 ... -554.93817473
  -554.93817473 -554.93817473]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",17187,4.9689922
1,1.0,1.0,Screams,"[[-5.03917055e+02 -5.03917055e+02 -5.03917055e+02 ... -8.03906067e+01
  -9.28552422e+01 -1.28857038e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.15758443e+02
   1.31334400e+02  1.19685010e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.28959176e+01
   8.15289239e+00  1.27290218e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.96437303e+00
   4.14924671e+00  2.26831303e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.26893285e+01
   1.44082536e+01  1.24090170e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.53402819e-01
  -9.69715963e-01 -2.94264758e+00]]",169784,4.9583335
2,2.0,2.0,Debbie Denise,"[[-563.88452309 -563.88452309 -563.88452309 ... -563.88452309
  -563.88452309 -563.88452309]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",130455,4.8842974
3,3.0,3.0,(Don't Fear) The Reaper,"[[-542.07480491 -542.07480491 -542.07480491 ... -542.07480491
  -542.07480491 -542.07480491]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",17340969,4.893413099999999
4,4.0,4.0,Morning Final,"[[-551.55445839 -551.55445839 -551.55445839 ... -167.16516867
  -174.72327483 -206.43763947]
 [   0.            0.            0.         ...   37.70210512
    39.8749349    39.22887637]
 [   0.            0.            0.         ...    4.72525913
    10.78450159   17.08836169]
 ...
 [   0.            0.            0.         ...   13.28840208
    17.67644604   19.48243568]
 [   0.            0.            0.         ...    3.22506738
    -2.15534016   -3.79948213]
 [   0.            0.            0.         ...   -8.44491281
   -13.45585446  -14.59709941]]",271242,4.925717400000001
5,5.0,5.0,The Revenge Of Vera Gemini,"[[-557.47151859 -557.47151859 -557.47151859 ... -557.47151859
  -557.47151859 -557.47151859]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",262644,4.9202156
6,6.0,6.0,True Confessions,"[[-5.67946437e+02 -5.67946437e+02 -5.67946437e+02 ... -5.65252283e+02
  -5.67602116e+02 -5.67946437e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.80393189e+00
   4.86702186e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.78543119e+00
   4.85975145e-01  0.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.21963492e+00
   4.62958521e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.10244724e+00
   4.57987576e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.97671532e+00
   4.52569378e-01  0.00000000e+00]]",98371,4.9579830000000005
7,7.0,7.0,Redeemed,"[[-553.57765384 -553.57765384 -553.57765384 ... -553.57765384
  -553.57765384 -553.57765384]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",146948,4.9647059
8,8.0,8.0,Workshop Of The Telescopes,"[[-524.20695082 -524.20695082 -524.20695082 ... -515.53549254
  -513.82573062 -514.8727885 ]
 [   0.            0.            0.         ...   12.05138532
    14.53313055   13.13225701]
 [   0.            0.            0.         ...   11.43525528
    14.1002564    12.93009897]
 ...
 [   0.            0.            0.         ...    2.63899042
     6.80066978    8.136489  ]
 [   0.            0.            0.         ...    2.42614659
     6.27055835    7.42546515]
 [   0.            0.            0.         ...    2.51175073
     5.90850227    6.74769419]]",188546,4.9216537
9,9.0,9.0,Godzilla,"[[-609.94746803 -609.94746803 -609.94746803 ... -609.94746803
  -609.94746803 -609.94746803]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1017181,4.9123669
10,10.0,10.0,E.T.I. (Extra Terrestrial Intelligence),"[[-5.41251897e+02 -5.41251897e+02 -5.41251897e+02 ... -4.46701093e+02
  -4.96802309e+02 -5.40046994e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  8.06614649e+01
   5.00520824e+01  1.70333656e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.54366537e+01
   2.54615821e+01  1.70137744e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.19984636e-01
  -8.98642713e-01  1.63986239e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.47054417e+00
   2.40891006e+00  1.62670638e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.91308417e+00
   7.12482983e+00  1.61241932e+00]]",549159,4.8892235999999984
