,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,title,MFCCs,views,rating
0,0.0,0.0,0.0,0.0,Sense Of Purpose,"[[-578.09639221 -578.09639221 -578.09639221 ... -578.09639221
  -578.09639221 -578.09639221]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1644533,4.7460966
1,1.0,1.0,1.0,1.0,Always Around,"[[-538.34967877 -538.34967877 -538.34967877 ... -538.34967877
  -538.34967877 -538.34967877]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",363388,4.8262782
2,2.0,2.0,2.0,2.0,One More Time,"[[-573.6213221 -573.6213221 -573.6213221 ... -573.6213221 -573.6213221
  -573.6213221]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 ...
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]]",14259,4.8899083
3,3.0,3.0,3.0,3.0,Jah Glory,"[[-468.97650034 -468.97650034 -468.97650034 ... -468.97650034
  -468.97650034 -468.97650034]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",641632,4.8989511
4,4.0,4.0,4.0,4.0,Dancing On The Floor (Hooked On Love),"[[-535.43797347 -535.43797347 -535.43797347 ... -535.43797347
  -535.43797347 -535.43797347]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1051196,4.8269682000000005
5,5.0,5.0,5.0,5.0,Reggae Radio Station,"[[-565.93159655 -565.93159655 -565.93159655 ... -564.17946802
  -565.93159655 -565.93159655]
 [   0.            0.            0.         ...    2.46453244
     0.            0.        ]
 [   0.            0.            0.         ...    2.42627057
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    2.05790399
     0.            0.        ]
 [   0.            0.            0.         ...    2.07748565
     0.            0.        ]
 [   0.            0.            0.         ...    2.10502636
     0.            0.        ]]",2156,4.25
6,6.0,6.0,6.0,6.0,Satta Amasa Gana,"[[-508.82294398 -508.82294398 -508.82294398 ... -508.82294398
  -508.82294398 -508.82294398]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",392614,4.8385758
7,7.0,7.0,7.0,7.0,Prisoner In The Street,"[[-537.5235916 -537.5235916 -537.5235916 ... -537.5235916 -537.5235916
  -537.5235916]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 ...
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]]",14838,4.8122067
8,8.0,8.0,8.0,8.0,Talk To Me,"[[-493.88727206 -493.88727206 -493.88727206 ... -493.88727206
  -493.88727206 -493.88727206]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",240985,4.8568992999999985
9,9.0,9.0,9.0,9.0,African Woman,"[[-5.47699880e+02 -5.47699880e+02 -5.47699880e+02 ... -3.92741664e+02
  -4.14527837e+02 -4.82685564e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  7.78240112e+01
   7.48529354e+01  5.42578640e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.18340348e+01
   1.25219194e+01  1.10820198e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.73664305e-01
   6.34090276e-01  3.84972344e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.37364876e+00
   3.04113215e+00  6.47645931e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.62182583e+00
  -1.84172944e-01  3.98125732e+00]]",39359,4.8640227
10,10.0,10.0,10.0,10.0,Slavery Days,"[[-505.84755489 -505.84755489 -505.84755489 ... -505.84755489
  -505.84755489 -505.84755489]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",105722,4.7760496
11,11.0,11.0,11.0,11.0,Cross Reference,"[[-543.84382646 -543.84382646 -543.84382646 ... -543.84382646
  -543.84382646 -543.84382646]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",8840,4.6111112
