,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Song,MFCCs,views,rating,title
0,0.0,0.0,,,"[[-585.41470763 -585.41470763 -585.41470763 ... -351.61751792
  -368.41928122 -408.07830376]
 [   0.            0.            0.         ...  113.27306333
   114.23852562  109.8768032 ]
 [   0.            0.            0.         ...  -51.35651957
   -46.84961939  -35.72019903]
 ...
 [   0.            0.            0.         ...   13.48579308
    14.31085301   10.0266263 ]
 [   0.            0.            0.         ...   -5.41867335
    -7.24667957   -8.17932604]
 [   0.            0.            0.         ...    5.3355535
     8.94802716    6.79338074]]",241676,4.9288645,Subhuman
1,1.0,1.0,,,"[[-471.02990626 -471.02990626 -471.02990626 ... -471.02990626
  -471.02990626 -471.02990626]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",2637,3.3870968999999995,I Adore You
2,2.0,2.0,,,"[[-491.1475072 -491.1475072 -491.1475072 ... -491.1475072 -491.1475072
  -491.1475072]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 ...
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]]",39815,4.941606,Safer On The Outside
3,3.0,3.0,,,"[[-537.39801353 -537.39801353 -537.39801353 ... -537.39801353
  -537.39801353 -537.39801353]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1093,3.4918032,Baby Come Home (Album Version)
4,4.0,4.0,,,"[[-532.37582022 -532.37582022 -532.37582022 ... -532.37582022
  -532.37582022 -532.37582022]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",714,4.5,When The Breeders Were Big
5,5.0,5.0,,,"[[-504.63328348 -504.63328348 -504.63328348 ... -504.63328348
  -504.63328348 -504.63328348]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",931,5.0,Nico Norte
6,6.0,6.0,,,"[[-527.6904375 -527.6904375 -527.6904375 ... -527.6904375 -527.6904375
  -527.6904375]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 ...
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]]",890,5.0,Brighton Bound
7,7.0,7.0,,,"[[-524.43597807 -524.43597807 -524.43597807 ... -524.43597807
  -524.43597807 -524.43597807]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",58,4.1999998,Going Up North (Icicles)
8,8.0,8.0,,,"[[-512.62642861 -512.62642861 -512.62642861 ... -512.62642861
  -512.62642861 -512.62642861]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",44,4.0,Broken Links
9,9.0,9.0,,,"[[-520.79265793 -520.79265793 -520.79265793 ... -520.79265793
  -520.79265793 -520.79265793]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",96,3.8571429,Terry
10,10.0,10.0,,,"[[-492.9550939 -492.9550939 -492.9550939 ... -492.9550939 -492.9550939
  -492.9550939]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 ...
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]]",2887,5.0,I'm Not Mad Enough
11,11.0,11.0,,,"[[-522.48833129 -522.48833129 -522.48833129 ... -522.48833129
  -522.48833129 -522.48833129]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",755,5.0,Aleida's Theme
12,12.0,12.0,,,"[[-536.52170795 -536.52170795 -536.52170795 ... -536.52170795
  -536.52170795 -536.52170795]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1695,5.0,Cienfuegos
13,13.0,13.0,,,"[[-488.36567578 -488.36567578 -488.36567578 ... -488.36567578
  -488.36567578 -488.36567578]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",5878,5.0,My Diamond Star Car
14,14.0,14.0,,,"[[-486.86265658 -486.86265658 -486.86265658 ... -486.86265658
  -486.86265658 -486.86265658]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",4606,4.918367400000001,Adam+Eve Connection
15,15.0,15.0,,,"[[-475.24607213 -475.24607213 -475.24607213 ... -475.24607213
  -475.24607213 -475.24607213]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",5601,5.0,Look Away
16,16.0,16.0,,,"[[-493.88159007 -493.88159007 -493.88159007 ... -493.88159007
  -493.88159007 -493.88159007]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",1103,4.4666667,Halfmole Halfbird
17,17.0,17.0,,,"[[-530.10483557 -530.10483557 -530.10483557 ... -530.10483557
  -530.10483557 -530.10483557]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",2068,4.8518519,Trickybird
18,18.0,18.0,,,"[[-523.17675499 -523.17675499 -522.64409538 ... -523.17675499
  -523.17675499 -523.17675499]
 [   0.            0.            0.75318238 ...    0.
     0.            0.        ]
 [   0.            0.            0.75284629 ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.74216377 ...    0.
     0.            0.        ]
 [   0.            0.            0.73984561 ...    0.
     0.            0.        ]
 [   0.            0.            0.7373143  ...    0.
     0.            0.        ]]",248,5.0,Dead Beast Queen
